Campaign_id,Channel,Spend,Clicks,Impressions,Date
CMP1825,Google Ads,30915.23,4556,99196,03/13/2025
CMP6913,Google Ads,917.29,145,5905,09/16/2025
CMP8929,LinkedIn Ads,24202.15,1889,30893,2025-04-01
CMP5515,Google Ads,3471.42,828,14156,06/26/2025
CMP6202,Google Ads,41702.74,2451,74357,11/13/2025
CMP3734,Instagram Ads,9290.98,526,12458,07/14/2025
CMP5821,Facebook Ads,65394.93,4424,89841,12/16/2025
CMP2678,LinkedIn Ads,44805.47,2261,51735,11/24/2025
CMP0917,Facebook Ads,3551.1,373,6207,2025-03-02
CMP6483,Email Marketing,8705.19,1220,62142,2025-07-05
CMP9561,LinkedIn Ads,36833.61,1846,49447,2025-12-03
CMP2505,Email Marketing,23015.2,1779,22969,07/17/2025
CMP0189,Email Marketing,27792.05,1926,96466,2025-02-10
CMP7434,Google Ads,85152.6,4365,96646,2025-02-04
CMP9978,Facebook Ads,25049.27,1581,22032,2025-04-10
CMP5948,Instagram Ads,1927.28,287,33385,10/18/2025
CMP8728,Facebook Ads,15155.24,1401,18828,2025-09-10
CMP3471,YouTube Ads,50096.75,3345,97673,07/24/2025
CMP1050,Instagram Ads,4279.96,351,4757,10/29/2025
CMP1105,Google Ads,7243.57,630,45309,05/23/2025
CMP9356,YouTube Ads,33110.91,2040,63953,07/28/2025
CMP6736,LinkedIn Ads,13384.0,937,97561,11/27/2025
CMP1791,Facebook Ads,9852.67,829,27112,03/13/2025
CMP1236,LinkedIn Ads,2884.27,852,74132,2025-04-10
CMP3503,LinkedIn Ads,1990.78,218,9685,07/19/2025
CMP9106,Email Marketing,41791.36,8023,96163,2025-01-06
CMP5139,Google Ads,7026.78,648,8572,09/29/2025
CMP9750,Google Ads,37336.38,3903,90501,10/19/2025
CMP9563,YouTube Ads,49802.29,2641,70522,04/15/2025
CMP4916,LinkedIn Ads,1714.99,644,43441,11/15/2025
CMP2171,Instagram Ads,4931.7,550,11016,03/22/2025
CMP8667,Google Ads,93182.4,4955,89538,02/23/2025
CMP2547,Instagram Ads,15632.07,2527,38930,06/25/2025
CMP4115,Google Ads,13372.07,1349,14097,05/22/2025
CMP2648,Email Marketing,67845.9,4569,59912,10/15/2025
CMP8939,Google Ads,58667.66,4821,50393,2025-09-08
CMP0654,Instagram Ads,19522.23,2843,29535,02/22/2025
CMP3879,Facebook Ads,5098.88,1738,25206,06/20/2025
CMP1772,LinkedIn Ads,3394.47,531,7075,08/24/2025
CMP6529,Instagram Ads,13336.36,3590,38517,05/23/2025
CMP8786,Instagram Ads,2998.49,168,5617,05/14/2025
CMP5664,Email Marketing,47505.77,3624,43114,09/19/2025
CMP7145,Google Ads,79358.89,6656,70146,2025-10-12
CMP5410,YouTube Ads,16152.4,1070,43145,2025-03-06
CMP4845,YouTube Ads,4357.15,442,18683,07/14/2025
CMP0007,Instagram Ads,9120.97,910,39606,10/24/2025
CMP3502,YouTube Ads,33244.23,6078,64021,02/13/2025
CMP3849,Email Marketing,31402.07,1890,42687,03/17/2025
CMP1194,LinkedIn Ads,65499.22,5209,56321,12/23/2025
CMP0091,Google Ads,10274.71,1842,57724,12/23/2025
