User_id,Channel,Interaction_date,Campaign_id
U1680,Google Ads,12/13/2025,CMP1825
U9864,Google Ads,01/14/2025,CMP6913
U2616,LinkedIn Ads,12/24/2025,CMP8929
U9892,Google Ads,05/16/2025,CMP5515
U5926,Google Ads,10/23/2025,CMP6202
U4555,Instagram Ads,08/21/2025,CMP3734
U1170,Facebook Ads,11-08-2025,CMP5821
U9126,LinkedIn Ads,04/23/2025,CMP2678
U3457,Facebook Ads,10/18/2025,CMP0917
U9198,Email Marketing,10-03-2025,CMP6483
U8349,LinkedIn Ads,09-10-2025,CMP9561
U6253,Email Marketing,11-02-2025,CMP2505
U4372,Email Marketing,11/25/2025,CMP0189
U8318,Google Ads,02/24/2025,CMP7434
U8690,Facebook Ads,01-01-2025,CMP9978
U1291,Instagram Ads,02/13/2025,CMP5948
U2706,Facebook Ads,05/16/2025,CMP8728
U6119,YouTube Ads,08/13/2025,CMP3471
U3609,Instagram Ads,01-04-2025,CMP1050
U7954,Google Ads,04/20/2025,CMP1105
U3120,YouTube Ads,02/18/2025,CMP9356
U1613,LinkedIn Ads,02-01-2025,CMP6736
U6913,Facebook Ads,04-04-2025,CMP1791
U0242,LinkedIn Ads,02/17/2025,CMP1236
U4346,LinkedIn Ads,08/21/2025,CMP3503
U3567,Email Marketing,01/30/2025,CMP9106
U2580,Google Ads,01/30/2025,CMP5139
U4034,Google Ads,10/24/2025,CMP9750
U5148,YouTube Ads,05-03-2025,CMP9563
U9225,LinkedIn Ads,02/21/2025,CMP4916
U7180,Instagram Ads,10-06-2025,CMP2171
U2201,Google Ads,05/16/2025,CMP8667
U3336,Instagram Ads,12/18/2025,CMP2547
U0723,Google Ads,01-02-2025,CMP4115
U0159,Email Marketing,02/27/2025,CMP2648
U2089,Google Ads,01/22/2025,CMP8939
U5795,Instagram Ads,10/14/2025,CMP0654
U6746,Facebook Ads,12-09-2025,CMP3879
U5729,LinkedIn Ads,06-06-2025,CMP1772
U5754,Instagram Ads,11/25/2025,CMP6529
U2926,Instagram Ads,10/25/2025,CMP8786
U1895,Email Marketing,07/17/2025,CMP5664
U3229,Google Ads,07-06-2025,CMP7145
U8309,YouTube Ads,06-08-2025,CMP5410
U2852,YouTube Ads,11-12-2025,CMP4845
U9940,Instagram Ads,12-02-2025,CMP0007
U4650,YouTube Ads,09/21/2025,CMP3502
U0401,Email Marketing,01/24/2025,CMP3849
U6292,LinkedIn Ads,09-11-2025,CMP1194
U8487,Google Ads,08/26/2025,CMP0091
U9158,LinkedIn Ads,11-01-2025,CMP1989
U7374,LinkedIn Ads,05/13/2025,CMP8271
U4682,LinkedIn Ads,05-01-2025,CMP8541
U3506,Facebook Ads,02-02-2025,CMP1321
U0321,Google Ads,10/22/2025,CMP6813
U9884,LinkedIn Ads,04/23/2025,CMP4893
U2092,LinkedIn Ads,11/15/2025,CMP0476
U7565,Email Marketing,04-04-2025,CMP9247
U4134,Instagram Ads,02-11-2025,CMP7450
U0660,Facebook Ads,01/16/2025,CMP5734
U3572,Facebook Ads,08/27/2025,CMP2497
U5097,YouTube Ads,02/25/2025,CMP9927
U3979,LinkedIn Ads,02/22/2025,CMP6150
U7019,Google Ads,12-05-2025,CMP9838
U7533,LinkedIn Ads,12/29/2025,CMP0208
U9708,YouTube Ads,05/18/2025,CMP4426
U6210,Instagram Ads,06/22/2025,CMP1420
U4527,Facebook Ads,10-12-2025,CMP7989
U7801,Email Marketing,11/27/2025,CMP3955
U9529,Instagram Ads,07-08-2025,CMP1525
U3778,Instagram Ads,03-03-2025,CMP9018
U4531,Email Marketing,10/29/2025,CMP8780
U8752,Instagram Ads,03-06-2025,CMP3181
U1681,Email Marketing,01-07-2025,CMP4787
U1870,Facebook Ads,02-03-2025,CMP5583
U1941,Facebook Ads,10/13/2025,CMP0879
U9643,YouTube Ads,08-08-2025,CMP3698
U2574,Facebook Ads,05-03-2025,CMP1626
U4721,LinkedIn Ads,12/28/2025,CMP6694
U3684,Instagram Ads,11/28/2025,CMP3825
U4729,Google Ads,08/13/2025,CMP1170
U9799,Instagram Ads,01/21/2025,CMP6595
U9620,Google Ads,01-11-2025,CMP0424
U2974,LinkedIn Ads,10/27/2025,CMP2871
U2635,Instagram Ads,06/18/2025,CMP7701
U5297,YouTube Ads,03-01-2025,CMP6562
U8168,LinkedIn Ads,11/17/2025,CMP8890
U1990,Facebook Ads,01/15/2025,CMP8999
U3682,Instagram Ads,02/28/2025,CMP2595
U7906,Email Marketing,08/30/2025,CMP8166
U4527,YouTube Ads,08-01-2025,CMP3123
U8023,Instagram Ads,03/18/2025,CMP0043
U3913,YouTube Ads,10/20/2025,CMP9043
U6326,Instagram Ads,12-06-2025,CMP0716
U1634,YouTube Ads,09/27/2025,CMP2069
U6513,Google Ads,11/29/2025,CMP2530
U1122,LinkedIn Ads,05-01-2025,CMP8743
U7270,LinkedIn Ads,03/27/2025,CMP1481
U4001,Google Ads,09/29/2025,CMP5315
U8154,Facebook Ads,10/26/2025,CMP2786
U4713,Instagram Ads,12/13/2025,CMP7530
U4098,YouTube Ads,08/22/2025,CMP5662
U4848,Google Ads,12/25/2025,CMP7917
U4690,Instagram Ads,04/28/2025,CMP6485
U2241,YouTube Ads,11/18/2025,CMP3116
U4836,LinkedIn Ads,06/17/2025,CMP5062
U4211,Instagram Ads,09-04-2025,CMP8838
U6512,LinkedIn Ads,10/13/2025,CMP1887
U4296,YouTube Ads,10/27/2025,CMP4333
U5375,Email Marketing,11-09-2025,CMP1776
U0610,Email Marketing,06-05-2025,CMP7607
U8851,Facebook Ads,08-03-2025,CMP8808
U0537,Email Marketing,12/20/2025,CMP6798
U5877,Instagram Ads,02-01-2025,CMP3869
U0350,Google Ads,01/26/2025,CMP7451
U5384,Facebook Ads,03/17/2025,CMP9251
U0423,YouTube Ads,03-09-2025,CMP2130
U6898,Instagram Ads,09/27/2025,CMP9648
U0711,YouTube Ads,12-04-2025,CMP5932
U8033,Google Ads,12/31/2025,CMP0511
U9591,Facebook Ads,10-08-2025,CMP9967
U1875,Instagram Ads,12-02-2025,CMP8693
U6533,LinkedIn Ads,08-01-2025,CMP3523
U1528,Instagram Ads,08-10-2025,CMP4177
U5401,YouTube Ads,12-10-2025,CMP2132
U1698,Email Marketing,10/23/2025,CMP6930
U9407,Google Ads,04/26/2025,CMP3675
U4382,Google Ads,01/15/2025,CMP9122
U6567,Instagram Ads,02-05-2025,CMP5568
U5586,Email Marketing,03/22/2025,CMP1504
U0816,YouTube Ads,12-12-2025,CMP9300
U1865,YouTube Ads,06/26/2025,CMP7958
U6476,LinkedIn Ads,11-03-2025,CMP9718
U8150,Facebook Ads,08-09-2025,CMP3461
U1181,YouTube Ads,07/23/2025,CMP3771
U6844,Instagram Ads,05/29/2025,CMP1276
U7156,YouTube Ads,02/24/2025,CMP2816
U1252,LinkedIn Ads,09/19/2025,CMP1289
U4194,Instagram Ads,04-12-2025,CMP5725
U9495,Facebook Ads,08/18/2025,CMP1235
U7246,Email Marketing,11/20/2025,CMP5296
U0933,YouTube Ads,07-08-2025,CMP5767
U9082,YouTube Ads,01/22/2025,CMP1480
U7382,Instagram Ads,02/22/2025,CMP3085
U8587,Google Ads,09/25/2025,CMP2828
U5483,LinkedIn Ads,02-03-2025,CMP4635
U2318,Instagram Ads,06/29/2025,CMP4656
U5382,YouTube Ads,03-07-2025,CMP2113
U5941,Google Ads,06-08-2025,CMP8625
U1658,Facebook Ads,09/17/2025,CMP7968
U2659,Email Marketing,04-03-2025,CMP0619
U3892,Email Marketing,08/16/2025,CMP2713
U3179,Facebook Ads,07-08-2025,CMP7356
U3272,LinkedIn Ads,11-06-2025,CMP4617
U2043,Instagram Ads,05/26/2025,CMP7874
U7392,Facebook Ads,06/28/2025,CMP8411
U5222,Facebook Ads,02/20/2025,CMP6127
U2274,Google Ads,12/28/2025,CMP2255
U9976,Google Ads,09/28/2025,CMP1299
U7490,Google Ads,02-02-2025,CMP4935
U7033,Google Ads,01-01-2025,CMP8783
U1109,Email Marketing,09/27/2025,CMP3069
U6117,Google Ads,05-10-2025,CMP9080
U2186,Facebook Ads,01/23/2025,CMP5650
U2210,Email Marketing,02-02-2025,CMP2869
U5081,Facebook Ads,09/21/2025,CMP4808
U5439,Email Marketing,05/20/2025,CMP0600
U8130,Email Marketing,12/21/2025,CMP6554
U2957,Google Ads,10-07-2025,CMP4370
U7273,Instagram Ads,06/29/2025,CMP4844
U1230,YouTube Ads,12-10-2025,CMP5777
U0571,Google Ads,03-06-2025,CMP2622
U7372,LinkedIn Ads,07-09-2025,CMP5934
U4090,YouTube Ads,02/28/2025,CMP2256
U7312,YouTube Ads,04/20/2025,CMP6341
U7293,Google Ads,02/14/2025,CMP3280
U2581,Email Marketing,12/31/2025,CMP5693
U3879,YouTube Ads,09-10-2025,CMP5923
U5068,YouTube Ads,07/23/2025,CMP7658
U1216,YouTube Ads,08/19/2025,CMP6709
U7089,Email Marketing,09/15/2025,CMP9033
U5670,Facebook Ads,09/23/2025,CMP4983
U1531,Instagram Ads,09/15/2025,CMP9025
U0675,Facebook Ads,01/15/2025,CMP2527
U0497,Instagram Ads,09-12-2025,CMP9450
U4874,LinkedIn Ads,08/21/2025,CMP4950
U5122,LinkedIn Ads,06/13/2025,CMP6810
U7643,Instagram Ads,03-04-2025,CMP2143
U5365,Instagram Ads,10/23/2025,CMP0830
U0380,YouTube Ads,02/16/2025,CMP8164
U9790,YouTube Ads,12-01-2025,CMP3525
U6607,LinkedIn Ads,07-07-2025,CMP1762
U7379,Instagram Ads,10-09-2025,CMP3190
U9140,Facebook Ads,07-07-2025,CMP1947
U7762,Google Ads,09/23/2025,CMP8194
U4903,Instagram Ads,10/31/2025,CMP2291
U6036,Email Marketing,06/19/2025,CMP8026
U9478,Email Marketing,10/23/2025,CMP5041
U3969,YouTube Ads,01/17/2025,CMP2794
U6724,Instagram Ads,09/14/2025,CMP7226
U7838,Email Marketing,09/27/2025,CMP1021
U4332,Instagram Ads,11-09-2025,CMP8735
U3397,Instagram Ads,12/20/2025,CMP9144
U8900,Email Marketing,07/14/2025,CMP9184
U5675,Instagram Ads,08/15/2025,CMP2400
U1790,YouTube Ads,11-12-2025,CMP3311
U5412,Facebook Ads,08/30/2025,CMP8701
U7823,Facebook Ads,11/30/2025,CMP9017
U3805,Email Marketing,10-01-2025,CMP4677
U8117,LinkedIn Ads,04-06-2025,CMP2869
U4663,Google Ads,08/21/2025,CMP0614
U5418,YouTube Ads,03/25/2025,CMP2199
U3165,Google Ads,03/31/2025,CMP3051
U3028,YouTube Ads,03/13/2025,CMP7008
U4948,LinkedIn Ads,10/26/2025,CMP4273
U5027,Email Marketing,03/23/2025,CMP5891
U6022,Email Marketing,11-11-2025,CMP5096
U7715,LinkedIn Ads,10-03-2025,CMP2510
U1280,Google Ads,10/16/2025,CMP9762
U8526,Facebook Ads,08/15/2025,CMP8282
U2162,Google Ads,09/20/2025,CMP8009
U3571,Email Marketing,10/24/2025,CMP7576
U0520,YouTube Ads,05/27/2025,CMP1045
U6155,Instagram Ads,02-11-2025,CMP6888
U3649,Google Ads,01-02-2025,CMP5698
U7547,LinkedIn Ads,06/27/2025,CMP8921
U3944,Google Ads,04/16/2025,CMP1849
U6591,Email Marketing,08/13/2025,CMP9795
U5225,Facebook Ads,10/23/2025,CMP0925
U6776,Instagram Ads,06-03-2025,CMP3882
U5643,Email Marketing,11/26/2025,CMP2870
U7759,LinkedIn Ads,05-04-2025,CMP6822
U8684,Google Ads,03-10-2025,CMP7587
U0845,LinkedIn Ads,05/18/2025,CMP1296
U7855,Facebook Ads,04/17/2025,CMP1193
U3975,Facebook Ads,12/23/2025,CMP3471
U5887,YouTube Ads,06-07-2025,CMP3922
U3329,Google Ads,07-09-2025,CMP7636
U9489,Email Marketing,08-02-2025,CMP3626
U5531,YouTube Ads,05-12-2025,CMP6224
U8001,Facebook Ads,04-05-2025,CMP7551
U2253,Google Ads,11/19/2025,CMP0555
U7917,YouTube Ads,12-04-2025,CMP3584
U4698,Google Ads,01-09-2025,CMP6740
U8626,Google Ads,05-10-2025,CMP2938
U3701,LinkedIn Ads,06-03-2025,CMP6113
U0920,Google Ads,11/23/2025,CMP0520
U3765,Email Marketing,04/19/2025,CMP7110
U0540,Google Ads,04-02-2025,CMP0763
U3940,Email Marketing,10/18/2025,CMP2363
U8205,Email Marketing,06/27/2025,CMP6289
U6500,Instagram Ads,06/17/2025,CMP1246
U3044,Facebook Ads,12/15/2025,CMP8039
U6226,Facebook Ads,12/31/2025,CMP4840
U5897,Google Ads,05/19/2025,CMP5910
U1469,YouTube Ads,07-01-2025,CMP7354
U9168,LinkedIn Ads,05-05-2025,CMP5316
U1037,Facebook Ads,03/27/2025,CMP2778
U9729,Instagram Ads,11-12-2025,CMP1261
U7213,LinkedIn Ads,06/21/2025,CMP0111
U3291,Facebook Ads,09-03-2025,CMP9739
U5340,Instagram Ads,07-12-2025,CMP5229
U9013,YouTube Ads,01/14/2025,CMP1866
U8181,Instagram Ads,03/13/2025,CMP7184
U7852,Email Marketing,10/26/2025,CMP2526
U9730,YouTube Ads,11/23/2025,CMP6854
U6548,Facebook Ads,06/19/2025,CMP5817
U9425,YouTube Ads,04/24/2025,CMP3638
U7910,Email Marketing,02/23/2025,CMP9644
U3390,Email Marketing,09/24/2025,CMP1902
U1886,Instagram Ads,01-12-2025,CMP7413
U5423,Email Marketing,10/14/2025,CMP2693
U3233,Facebook Ads,08/19/2025,CMP3023
U9460,Facebook Ads,02/22/2025,CMP3520
U5135,Google Ads,11-02-2025,CMP7497
U4874,Instagram Ads,11-11-2025,CMP5701
U2317,Facebook Ads,09/19/2025,CMP1932
U2839,LinkedIn Ads,10-12-2025,CMP6287
U7940,LinkedIn Ads,03-11-2025,CMP5155
U7273,Email Marketing,09-08-2025,CMP8282
U2756,Instagram Ads,08/23/2025,CMP3614
U6011,YouTube Ads,10-05-2025,CMP9007
U0529,LinkedIn Ads,08/19/2025,CMP3581
U5745,Google Ads,12/30/2025,CMP7194
U4606,Facebook Ads,11-02-2025,CMP2282
U1561,Instagram Ads,03-11-2025,CMP4795
U4056,Email Marketing,12/13/2025,CMP2079
U1526,Email Marketing,07/26/2025,CMP4403
U7512,LinkedIn Ads,11/22/2025,CMP6047
U4400,LinkedIn Ads,06/15/2025,CMP8757
U7530,LinkedIn Ads,01-09-2025,CMP9276
U4946,Google Ads,03/23/2025,CMP7480
U5006,Instagram Ads,12/25/2025,CMP1351
U3706,Google Ads,09/23/2025,CMP1560
U3752,Google Ads,07/16/2025,CMP5630
U2341,Instagram Ads,02-05-2025,CMP5134
