Conversion_id,User_id,Revenue,Conversion_date
CONV00001,U1680,41243.46,12/31/2025
CONV00002,U9864,53914.46,02-05-2025
CONV00003,U2616,21381.94,12/30/2025
CONV00004,U9892,34862.3,05/19/2025
CONV00005,U5926,5914.47,11/13/2025
CONV00006,U4555,27838.78,09-01-2025
CONV00007,U1170,40409.88,11/15/2025
CONV00008,U9126,63331.76,05/17/2025
CONV00009,U3457,16537.52,11-02-2025
CONV00010,U9198,44155.52,10/31/2025
CONV00011,U8349,4248.39,09/13/2025
CONV00012,U6253,19417.5,11/19/2025
CONV00013,U4372,22542.39,11/30/2025
CONV00014,U8318,63243.94,03-12-2025
CONV00015,U8690,37028.97,01-04-2025
CONV00016,U1291,61339.73,03-09-2025
CONV00017,U2706,45789.6,06/15/2025
CONV00018,U6119,9734.56,08/20/2025
CONV00019,U3609,47609.4,01-11-2025
CONV00020,U7954,54458.92,05/18/2025
CONV00021,U3120,32755.54,03-03-2025
CONV00022,U1613,25943.22,02/28/2025
CONV00023,U6913,19298.13,05-03-2025
CONV00024,U0242,30926.25,03-04-2025
CONV00025,U4346,52471.92,09/13/2025
CONV00026,U3567,41007.99,02/22/2025
CONV00027,U2580,63962.19,02-01-2025
CONV00028,U4034,46739.07,11-06-2025
CONV00029,U5148,10467.7,05/23/2025
CONV00030,U9225,16576.71,03-01-2025
CONV00031,U7180,46167.08,10/31/2025
CONV00032,U2201,8697.42,06-02-2025
CONV00033,U3336,20350.8,01-02-2026
CONV00034,U0723,10463.36,01-10-2025
CONV00035,U0159,52058.2,03-03-2025
CONV00036,U2089,67499.37,02/16/2025
CONV00037,U5795,56398.71,11-12-2025
CONV00038,U6746,19176.42,12/14/2025
CONV00039,U5729,2507.08,06-12-2025
CONV00040,U5754,51204.23,12/21/2025
CONV00041,U2926,8798.9,11-07-2025
CONV00042,U1895,19663.14,08-08-2025
CONV00043,U3229,71203.94,08-04-2025
CONV00044,U8309,24969.07,06/30/2025
CONV00045,U2852,30901.08,12-08-2025
CONV00046,U9940,33552.62,12/23/2025
CONV00047,U4650,46730.12,09/23/2025
CONV00048,U0401,46137.09,02/17/2025
CONV00049,U6292,11707.17,10-03-2025
CONV00050,U8487,19252.96,09/22/2025
CONV00051,U9158,66938.37,11/20/2025
CONV00052,U7374,48096.36,06-06-2025
CONV00053,U4682,24488.43,05/18/2025
CONV00054,U3506,25317.94,02/16/2025
CONV00055,U0321,1187.79,11-02-2025
CONV00056,U9884,21015.45,05-08-2025
CONV00057,U2092,68089.47,12-03-2025
CONV00058,U7565,28898.46,04-10-2025
CONV00059,U4134,56365.05,02-12-2025
CONV00060,U0660,63062.74,02-04-2025
CONV00061,U3572,57692.19,09-01-2025
CONV00062,U5097,69719.87,03/15/2025
CONV00063,U3979,23142.51,03/15/2025
CONV00064,U7019,38317.59,12/15/2025
CONV00065,U7533,13828.17,01/14/2026
CONV00066,U9708,18978.02,06/16/2025
CONV00067,U6210,63933.26,06/27/2025
CONV00068,U4527,71143.65,10/14/2025
CONV00069,U7801,34026.96,11/27/2025
CONV00070,U9529,40170.96,07/21/2025
CONV00071,U3778,24179.43,03/26/2025
CONV00072,U4531,21762.66,11-01-2025
CONV00073,U8752,73091.4,03/23/2025
