Conversion_id,User_id,Revenue,Conversion_date,Revenue_Log,Revenue_Rank,High_Value_Conversion,Revenue_Category,Conversion_Year,Conversion_Month,Conversion_Weekday,Conversion_Quarter,Conversion_Day
CONV00001,U1680,27495.64,31-12-2025,10.22181909,926,1,Very High,2025,December,Wednesday,4,31
CONV00002,U9864,35942.97,05-02-2025,10.48971662,563,1,Very High,2025,February,Wednesday,1,5
CONV00003,U2616,14254.63,30-12-2025,9.564907195,1432,0,Very High,2025,December,Tuesday,4,30
CONV00004,U9892,23241.53,19-05-2025,10.05373907,1083,0,Very High,2025,May,Monday,2,19
CONV00005,U5926,3942.98,13-11-2025,8.279945645,1862,0,Very High,2025,November,Thursday,4,13
CONV00006,U4555,18559.19,01-09-2025,9.828774243,1273,0,Very High,2025,September,Monday,3,1
CONV00007,U1170,26939.92,15-11-2025,10.2014016,943,1,Very High,2025,November,Saturday,4,15
CONV00008,U9126,42221.17,17-05-2025,10.65070072,281,1,Very High,2025,May,Saturday,2,17
CONV00009,U3457,11025.01,02-11-2025,9.308012306,1578,0,Very High,2025,November,Sunday,4,2
CONV00010,U9198,29437.01,31-10-2025,10.29004198,826,1,Very High,2025,October,Friday,4,31
CONV00011,U8349,2832.26,13-09-2025,7.949183271,1909,0,Very High,2025,September,Saturday,3,13
CONV00012,U6253,12945,19-11-2025,9.468542139,1489,0,Very High,2025,November,Wednesday,4,19
CONV00013,U4372,15028.26,30-11-2025,9.617754247,1400,0,Very High,2025,November,Sunday,4,30
CONV00014,U8318,42162.63,12-03-2025,10.64931328,284,1,Very High,2025,March,Wednesday,1,12
CONV00015,U8690,24685.98,04-01-2025,10.11403126,1030,0,Very High,2025,January,Saturday,1,4
CONV00016,U1291,40893.15,09-03-2025,10.6187423,345,1,Very High,2025,March,Sunday,1,9
CONV00017,U2706,30526.4,15-06-2025,10.32637992,785,1,Very High,2025,June,Sunday,2,15
CONV00018,U6119,6489.71,20-08-2025,8.778127203,1762,0,Very High,2025,August,Wednesday,3,20
CONV00019,U3609,31739.6,11-01-2025,10.3653519,744,1,Very High,2025,January,Saturday,1,11
CONV00020,U7954,36305.95,18-05-2025,10.49976446,552,1,Very High,2025,May,Sunday,2,18
CONV00021,U3120,21837.03,03-03-2025,9.991408224,1146,0,Very High,2025,March,Monday,1,3
CONV00022,U1613,17295.48,28-02-2025,9.758258292,1318,0,Very High,2025,February,Friday,1,28
CONV00023,U6913,12865.42,03-05-2025,9.462376096,1493,0,Very High,2025,May,Saturday,2,3
CONV00024,U0242,20617.5,04-03-2025,9.93394401,1197,0,Very High,2025,March,Tuesday,1,4
CONV00025,U4346,34981.28,13-09-2025,10.46259693,606,1,Very High,2025,September,Saturday,3,13
CONV00026,U3567,27338.66,22-02-2025,10.21609367,930,1,Very High,2025,February,Saturday,1,22
CONV00027,U2580,42641.46,01-02-2025,10.66060575,263,1,Very High,2025,February,Saturday,1,1
CONV00028,U4034,31159.38,06-11-2025,10.3469027,760,1,Very High,2025,November,Thursday,4,6
CONV00029,U5148,6978.47,23-05-2025,8.850728262,1741,0,Very High,2025,May,Friday,2,23
CONV00030,U9225,11051.14,01-03-2025,9.310379353,1577,0,Very High,2025,March,Saturday,1,1
CONV00031,U7180,30778.05,31-10-2025,10.33458954,773,1,Very High,2025,October,Friday,4,31
CONV00032,U2201,5798.28,02-06-2025,8.665489051,1785,0,Very High,2025,June,Monday,2,2
CONV00033,U3336,13567.2,02-01-2026,9.515484098,1467,0,Very High,2026,January,Friday,1,2
CONV00034,U0723,6975.57,10-01-2025,8.850312671,1742,0,Very High,2025,January,Friday,1,10
CONV00035,U0159,34705.47,03-03-2025,10.4546814,617,1,Very High,2025,March,Monday,1,3
CONV00036,U2089,44999.58,16-02-2025,10.71443066,186,1,Very High,2025,February,Sunday,1,16
CONV00037,U5795,37599.14,12-11-2025,10.53476305,490,1,Very High,2025,November,Wednesday,4,12
CONV00038,U6746,12784.28,14-12-2025,9.456049788,1499,0,Very High,2025,December,Sunday,4,14
CONV00039,U5729,1671.39,12-06-2025,7.42200902,1954,0,Very High,2025,June,Thursday,2,12
CONV00040,U5754,34136.15,21-12-2025,10.43814151,649,1,Very High,2025,December,Sunday,4,21
CONV00041,U2926,5865.93,07-11-2025,8.677086778,1782,0,Very High,2025,November,Friday,4,7
CONV00042,U1895,13108.76,08-08-2025,9.48111227,1484,0,Very High,2025,August,Friday,3,8
CONV00043,U3229,47469.29,04-08-2025,10.76785932,90,1,Very High,2025,August,Monday,3,4
CONV00044,U8309,16646.05,30-06-2025,9.719988303,1342,0,Very High,2025,June,Monday,2,30
CONV00045,U2852,20600.72,08-12-2025,9.933129846,1199,0,Very High,2025,December,Monday,4,8
CONV00046,U9940,22368.41,23-12-2025,10.01544968,1124,0,Very High,2025,December,Tuesday,4,23
CONV00047,U4650,31153.41,23-09-2025,10.34671109,761,1,Very High,2025,September,Tuesday,3,23
CONV00048,U0401,30758.06,17-02-2025,10.33393986,775,1,Very High,2025,February,Monday,1,17
CONV00049,U6292,7804.78,03-10-2025,8.962619764,1709,0,Very High,2025,October,Friday,4,3
CONV00050,U8487,12835.31,22-09-2025,9.460033153,1495,0,Very High,2025,September,Monday,3,22
CONV00051,U9158,44625.58,20-11-2025,10.70608492,200,1,Very High,2025,November,Thursday,4,20
CONV00052,U7374,32064.24,06-06-2025,10.37552786,730,1,Very High,2025,June,Friday,2,6
CONV00053,U4682,16325.62,18-05-2025,9.700552184,1356,0,Very High,2025,May,Sunday,2,18
CONV00054,U3506,16878.63,16-02-2025,9.733862848,1334,0,Very High,2025,February,Sunday,1,16
CONV00055,U0321,791.86,02-11-2025,6.675646661,1988,0,High,2025,November,Sunday,4,2
CONV00056,U9884,14010.3,08-05-2025,9.547619426,1448,0,Very High,2025,May,Thursday,2,8
CONV00057,U2092,45392.98,03-12-2025,10.72313478,169,1,Very High,2025,December,Wednesday,4,3
CONV00058,U7565,19265.64,10-04-2025,9.866130382,1249,0,Very High,2025,April,Thursday,2,10
CONV00059,U4134,37576.7,12-02-2025,10.53416607,491,1,Very High,2025,February,Wednesday,1,12
CONV00060,U0660,42041.83,04-02-2025,10.64644414,295,1,Very High,2025,February,Tuesday,1,4
CONV00061,U3572,38461.46,01-09-2025,10.55743798,453,1,Very High,2025,September,Monday,3,1
CONV00062,U5097,46479.91,15-03-2025,10.74679697,130,1,Very High,2025,March,Saturday,1,15
CONV00063,U3979,15428.34,15-03-2025,9.644026171,1384,0,Very High,2025,March,Saturday,1,15
CONV00064,U7019,25545.06,15-12-2025,10.14823838,1004,0,Very High,2025,December,Monday,4,15
CONV00065,U7533,9218.78,14-01-2026,9.129106455,1656,0,Very High,2026,January,Wednesday,1,14
CONV00066,U9708,12652.01,16-06-2025,9.445650411,1507,0,Very High,2025,June,Monday,2,16
CONV00067,U6210,42622.17,27-06-2025,10.66015328,264,1,Very High,2025,June,Friday,2,27
CONV00068,U4527,47429.1,14-10-2025,10.76701233,93,1,Very High,2025,October,Tuesday,4,14
CONV00069,U7801,22684.64,27-11-2025,10.0294874,1109,0,Very High,2025,November,Thursday,4,27
CONV00070,U9529,26780.64,21-07-2025,10.19547186,947,1,Very High,2025,July,Monday,3,21
CONV00071,U3778,16119.62,26-03-2025,9.687854477,1361,0,Very High,2025,March,Wednesday,1,26
CONV00072,U4531,14508.44,01-11-2025,9.582554751,1423,0,Very High,2025,November,Saturday,4,1
CONV00073,U8752,48727.6,23-03-2025,10.79402141,46,1,Very High,2025,March,Sunday,1,23
CONV00074,U1681,23735.15,21-01-2025,10.07475448,1062,0,Very High,2025,January,Tuesday,1,21
CONV00075,U1870,4167.07,23-02-2025,8.335208378,1851,0,Very High,2025,February,Sunday,1,23
CONV00076,U1941,30008.28,01-11-2025,10.30926195,805,1,Very High,2025,November,Saturday,4,1
CONV00077,U9643,31240.85,27-08-2025,10.34951382,757,1,Very High,2025,August,Wednesday,3,27
CONV00078,U2574,4215.71,03-05-2025,8.346810482,1848,0,Very High,2025,May,Saturday,2,3
CONV00079,U4721,43050.53,30-12-2025,10.67015305,251,1,Very High,2025,December,Tuesday,4,30
CONV00080,U3684,13648.81,02-12-2025,9.521480881,1461,0,Very High,2025,December,Tuesday,4,2
CONV00081,U4729,34589.56,04-09-2025,10.45133609,622,1,Very High,2025,September,Thursday,3,4
CONV00082,U9799,16454.92,29-01-2025,9.70844057,1350,0,Very High,2025,January,Wednesday,1,29
CONV00083,U9620,13840.8,12-01-2025,9.535448279,1452,0,Very High,2025,January,Sunday,1,12
CONV00084,U2974,40805.12,29-10-2025,10.61658735,350,1,Very High,2025,October,Wednesday,4,29
CONV00085,U2635,25025.72,09-07-2025,10.12769933,1020,0,Very High,2025,July,Wednesday,3,9
CONV00086,U5297,25972.51,01-03-2025,10.16483245,982,1,Very High,2025,March,Saturday,1,1
CONV00087,U8168,3054.78,25-11-2025,8.024790158,1899,0,Very High,2025,November,Tuesday,4,25
CONV00088,U1990,40066.03,06-02-2025,10.59830908,376,1,Very High,2025,February,Thursday,1,6
CONV00089,U3682,32561.63,04-03-2025,10.39092059,706,1,Very High,2025,March,Tuesday,1,4
CONV00090,U7906,27787.62,11-09-2025,10.23238186,913,1,Very High,2025,September,Thursday,3,11
CONV00091,U4527,39492.01,09-08-2025,10.58387897,394,1,Very High,2025,August,Saturday,3,9
CONV00092,U8023,24474.9,28-03-2025,10.10544424,1036,0,Very High,2025,March,Friday,1,28
CONV00093,U3913,42872.64,02-11-2025,10.66601246,259,1,Very High,2025,November,Sunday,4,2
CONV00094,U6326,25018.77,07-12-2025,10.12742159,1022,0,Very High,2025,December,Sunday,4,7
CONV00095,U1634,36260.97,10-10-2025,10.49852481,555,1,Very High,2025,October,Friday,4,10
CONV00096,U6513,16764,20-12-2025,9.727048659,1338,0,Very High,2025,December,Saturday,4,20
CONV00097,U1122,46085.99,08-05-2025,10.73828598,150,1,Very High,2025,May,Thursday,2,8
CONV00098,U7270,45219.49,28-03-2025,10.71930558,175,1,Very High,2025,March,Friday,1,28
CONV00099,U4001,34249.12,04-10-2025,10.44144535,644,1,Very High,2025,October,Saturday,4,4
CONV00100,U8154,23326.92,03-11-2025,10.05740621,1078,0,Very High,2025,November,Monday,4,3
CONV00101,U4713,4156.16,12-01-2026,8.332587428,1853,0,Very High,2026,January,Monday,1,12
CONV00102,U4098,49968.99,18-09-2025,10.8191779,2,1,Very High,2025,September,Thursday,3,18
CONV00103,U4848,48908.25,15-01-2026,10.79772182,39,1,Very High,2026,January,Thursday,1,15
CONV00104,U4690,17939.89,18-05-2025,9.794837744,1291,0,Very High,2025,May,Sunday,2,18
CONV00105,U2241,31559.18,19-11-2025,10.35965148,750,1,Very High,2025,November,Wednesday,4,19
CONV00106,U4836,9194.18,21-06-2025,9.126434713,1658,0,Very High,2025,June,Saturday,2,21
CONV00107,U4211,43584.65,29-09-2025,10.68248325,239,1,Very High,2025,September,Monday,3,29
CONV00108,U6512,39638.76,13-10-2025,10.58758793,390,1,Very High,2025,October,Monday,4,13
CONV00109,U4296,32108.19,07-11-2025,10.37689756,726,1,Very High,2025,November,Friday,4,7
CONV00110,U5375,3629.24,05-12-2025,8.197054041,1879,0,Very High,2025,December,Friday,4,5
CONV00111,U0610,5311,03-07-2025,8.577723691,1808,0,Very High,2025,July,Thursday,3,3
CONV00112,U8851,36466.66,31-08-2025,10.50418112,546,1,Very High,2025,August,Sunday,3,31
CONV00113,U0537,22447.46,19-01-2026,10.01897729,1119,0,Very High,2026,January,Monday,1,19
CONV00114,U5877,9895.52,04-02-2025,9.199938459,1629,0,Very High,2025,February,Tuesday,1,4
CONV00115,U0350,49446.63,20-02-2025,10.80866941,16,1,Very High,2025,February,Thursday,1,20
CONV00116,U5384,14225.1,21-03-2025,9.562833585,1434,0,Very High,2025,March,Friday,1,21
CONV00117,U0423,39604.24,16-03-2025,10.58671671,391,1,Very High,2025,March,Sunday,1,16
CONV00118,U6898,3646.12,11-10-2025,8.201693094,1875,0,Very High,2025,October,Saturday,4,11
CONV00119,U0711,23173.1,03-01-2026,10.05079055,1086,0,Very High,2026,January,Saturday,1,3
CONV00120,U8033,45013.7,10-01-2026,10.71474438,185,1,Very High,2026,January,Saturday,1,10
CONV00121,U9591,19354.77,27-10-2025,9.870745845,1238,0,Very High,2025,October,Monday,4,27
CONV00122,U1875,38563.66,25-12-2025,10.56009159,446,1,Very High,2025,December,Thursday,4,25
CONV00123,U6533,15971.14,11-08-2025,9.678601233,1368,0,Very High,2025,August,Monday,3,11
CONV00124,U1528,37070.4,04-09-2025,10.52060106,515,1,Very High,2025,September,Thursday,3,4
CONV00125,U5401,18003.1,31-12-2025,9.798354789,1290,0,Very High,2025,December,Wednesday,4,31
CONV00126,U1698,8159.14,07-11-2025,9.007016605,1697,0,Very High,2025,November,Friday,4,7
CONV00127,U9407,28267.8,20-05-2025,10.249514,889,1,Very High,2025,May,Tuesday,2,20
CONV00128,U4382,35283.59,24-01-2025,10.4712016,590,1,Very High,2025,January,Friday,1,24
CONV00129,U6567,31842.01,05-02-2025,10.36857317,740,1,Very High,2025,February,Wednesday,1,5
CONV00130,U5586,36219,15-04-2025,10.49736673,557,1,Very High,2025,April,Tuesday,2,15
CONV00131,U0816,22434.09,25-12-2025,10.01838153,1120,0,Very High,2025,December,Thursday,4,25
CONV00132,U1865,14520.7,17-07-2025,9.583399361,1422,0,Very High,2025,July,Thursday,3,17
CONV00133,U6476,10618.94,03-12-2025,9.270488645,1595,0,Very High,2025,December,Wednesday,4,3
CONV00134,U8150,19320.27,31-08-2025,9.868961841,1242,0,Very High,2025,August,Sunday,3,31
CONV00135,U1181,22092.87,06-08-2025,10.00305547,1135,0,Very High,2025,August,Wednesday,3,6
CONV00136,U6844,1532.4,08-06-2025,7.335242771,1959,0,Very High,2025,June,Sunday,2,8
CONV00137,U7156,29649.13,12-03-2025,10.29722179,818,1,Very High,2025,March,Wednesday,1,12
CONV00138,U1252,26764.94,25-09-2025,10.19488546,949,1,Very High,2025,September,Thursday,3,25
CONV00139,U4194,8067.05,06-05-2025,8.995667096,1703,0,Very High,2025,May,Tuesday,2,6
CONV00140,U9495,44161.38,07-09-2025,10.69562857,221,1,Very High,2025,September,Sunday,3,7
CONV00141,U7246,14096.35,21-11-2025,9.553742115,1444,0,Very High,2025,November,Friday,4,21
CONV00142,U0933,32410.99,04-08-2025,10.3862837,718,1,Very High,2025,August,Monday,3,4
CONV00143,U9082,40585.89,11-02-2025,10.61120039,360,1,Very High,2025,February,Tuesday,1,11
CONV00144,U7382,4674.29,14-03-2025,8.450046472,1835,0,Very High,2025,March,Friday,1,14
CONV00145,U8587,18512.95,24-10-2025,9.826279781,1274,0,Very High,2025,October,Friday,4,24
CONV00146,U5483,28119.18,15-02-2025,10.24424275,897,1,Very High,2025,February,Saturday,1,15
CONV00147,U2318,35074.76,11-07-2025,10.46526557,602,1,Very High,2025,July,Friday,3,11
CONV00148,U5382,41533.47,30-03-2025,10.63427896,312,1,Very High,2025,March,Sunday,1,30
CONV00149,U5941,17415.75,02-07-2025,9.765187666,1313,0,Very High,2025,July,Wednesday,3,2
CONV00150,U1658,37062.88,03-10-2025,10.52039819,516,1,Very High,2025,October,Friday,4,3
CONV00151,U2659,31424.65,01-05-2025,10.35537972,754,1,Very High,2025,May,Thursday,2,1
CONV00152,U3892,37743.36,10-09-2025,10.53859134,482,1,Very High,2025,September,Wednesday,3,10
CONV00153,U3179,49229.77,22-07-2025,10.80427411,24,1,Very High,2025,July,Tuesday,3,22
CONV00154,U3272,12875.16,26-11-2025,9.463132819,1491,0,Very High,2025,November,Wednesday,4,26
CONV00155,U2043,8435.46,09-06-2025,9.040318068,1685,0,Very High,2025,June,Monday,2,9
CONV00156,U7392,3136.22,14-07-2025,8.051092336,1896,0,Very High,2025,July,Monday,3,14
CONV00157,U5222,17096.87,24-02-2025,9.746709173,1329,0,Very High,2025,February,Monday,1,24
CONV00158,U2274,30959.74,25-01-2026,10.34047523,768,1,Very High,2026,January,Sunday,1,25
CONV00159,U9976,38920.55,05-10-2025,10.56930336,426,1,Very High,2025,October,Sunday,4,5
CONV00160,U7490,45304.77,21-02-2025,10.72118968,173,1,Very High,2025,February,Friday,1,21
CONV00161,U7033,12407.93,14-01-2025,9.426171654,1519,0,Very High,2025,January,Tuesday,1,14
CONV00162,U1109,39427.41,13-10-2025,10.5822419,399,1,Very High,2025,October,Monday,4,13
CONV00163,U6117,18176.15,12-05-2025,9.80792059,1286,0,Very High,2025,May,Monday,2,12
CONV00164,U2186,17258.09,12-02-2025,9.75609424,1319,0,Very High,2025,February,Wednesday,1,12
CONV00165,U2210,47208.45,03-02-2025,10.76234936,103,1,Very High,2025,February,Monday,1,3
CONV00166,U5081,27380.02,29-09-2025,10.21760535,929,1,Very High,2025,September,Monday,3,29
CONV00167,U5439,18716.95,17-06-2025,9.837238235,1265,0,Very High,2025,June,Tuesday,2,17
CONV00168,U8130,46253.37,06-01-2026,10.74191122,143,1,Very High,2026,January,Tuesday,1,6
CONV00169,U2957,5578.6,17-10-2025,8.626872368,1798,0,Very High,2025,October,Friday,4,17
CONV00170,U7273,36477.31,28-07-2025,10.50447312,544,1,Very High,2025,July,Monday,3,28
CONV00171,U1230,18483.9,04-01-2026,9.824709462,1278,0,Very High,2026,January,Sunday,1,4
CONV00172,U0571,39036.51,17-03-2025,10.57227826,419,1,Very High,2025,March,Monday,1,17
CONV00173,U7372,38272.68,27-07-2025,10.55251773,458,1,Very High,2025,July,Sunday,3,27
