User_id,Journey,Campaign_id,Conversion_id,Revenue,Conversion_date,Journey_Length
U0002,Instagram Ads,CMP5045,CONV00496,14694.73,12-10-2025,1
U0004,Facebook Ads,CMP1484,CONV00596,22922.23,26-03-2025,1
U0008,Facebook Ads,CMP3358,CONV01720,37641.72,21-07-2025,1
U0024,Email Marketing,CMP2043,CONV01624,9962.66,08-03-2025,1
U0035,Instagram Ads,CMP5000,CONV00806,3844.44,05-03-2025,1
U0063,Facebook Ads,CMP2273,CONV01446,10905.84,01-09-2025,1
U0071,YouTube Ads,CMP5777,CONV01947,5175.94,21-12-2025,1
U0077,Instagram Ads,CMP0349,CONV01077,42161.32,06-09-2025,1
U0080,YouTube Ads,CMP9267,CONV00438,11465.52,03-07-2025,1
U0087,YouTube Ads,CMP9021,CONV00464,46330.16,01-03-2025,1
U0092,Instagram Ads,CMP0161,CONV01218,10363.75,12-06-2025,1
U0096,LinkedIn Ads,CMP3061,CONV01898,7390.41,22-10-2025,1
U0100,YouTube Ads,CMP3645,CONV00899,47706.23,04-02-2025,1
U0106,Facebook Ads,CMP2235,CONV01119,10434.64,08-09-2025,1
U0107,Google Ads,CMP1912,CONV01941,47905.54,23-06-2025,1
U0111,Email Marketing,CMP7877,CONV00849,18215.39,22-07-2025,1
U0113,Instagram Ads,CMP9897,CONV01287,20614.16,02-02-2025,1
U0117,YouTube Ads,CMP9803,CONV00459,26228.21,04-11-2025,1
U0119,Google Ads,CMP4360,CONV00918,49351.39,05-08-2025,1
U0122,Google Ads,CMP5824,CONV01610,7136.94,14-06-2025,1
U0125,Instagram Ads,CMP1754,CONV01801,43389.49,25-04-2025,1
U0132,Google Ads,CMP3875,CONV00976,14470.06,13-08-2025,1
U0139,Instagram Ads > Google Ads,CMP9852 > CMP7927,CONV00827,46844.27,19-03-2025,2
U0139,Instagram Ads > Google Ads,CMP9852 > CMP7927,CONV01026,25260.7,12-07-2025,2
U0145,Facebook Ads,CMP4810,CONV00423,22560.53,28-03-2025,1
U0146,YouTube Ads,CMP6710,CONV00366,9073.43,25-09-2025,1
U0159,Email Marketing,CMP2648,CONV00035,34705.47,03-03-2025,1
U0170,Instagram Ads,CMP4069,CONV00746,16500.68,20-09-2025,1
