User_id,Channel,Interaction_date,Campaign_id,Interaction_Day,Interaction_Month
U1680,Google Ads,13-12-2025,CMP1825,Saturday,12
U9864,Google Ads,14-01-2025,CMP6913,Tuesday,1
U2616,LinkedIn Ads,24-12-2025,CMP8929,Wednesday,12
U9892,Google Ads,16-05-2025,CMP5515,Friday,5
U5926,Google Ads,23-10-2025,CMP6202,Thursday,10
U4555,Instagram Ads,21-08-2025,CMP3734,Thursday,8
U1170,Facebook Ads,,CMP5821,,
U9126,LinkedIn Ads,23-04-2025,CMP2678,Wednesday,4
U3457,Facebook Ads,18-10-2025,CMP0917,Saturday,10
U9198,Email Marketing,,CMP6483,,
U8349,LinkedIn Ads,,CMP9561,,
U6253,Email Marketing,,CMP2505,,
U4372,Email Marketing,25-11-2025,CMP0189,Tuesday,11
U8318,Google Ads,24-02-2025,CMP7434,Monday,2
U8690,Facebook Ads,,CMP9978,,
U1291,Instagram Ads,13-02-2025,CMP5948,Thursday,2
U2706,Facebook Ads,16-05-2025,CMP8728,Friday,5
U6119,YouTube Ads,13-08-2025,CMP3471,Wednesday,8
U3609,Instagram Ads,,CMP1050,,
U7954,Google Ads,20-04-2025,CMP1105,Sunday,4
U3120,YouTube Ads,18-02-2025,CMP9356,Tuesday,2
U1613,LinkedIn Ads,,CMP6736,,
U6913,Facebook Ads,,CMP1791,,
U0242,LinkedIn Ads,17-02-2025,CMP1236,Monday,2
U4346,LinkedIn Ads,21-08-2025,CMP3503,Thursday,8
U3567,Email Marketing,30-01-2025,CMP9106,Thursday,1
U2580,Google Ads,30-01-2025,CMP5139,Thursday,1
U4034,Google Ads,24-10-2025,CMP9750,Friday,10
U5148,YouTube Ads,,CMP9563,,
U9225,LinkedIn Ads,21-02-2025,CMP4916,Friday,2
U7180,Instagram Ads,,CMP2171,,
U2201,Google Ads,16-05-2025,CMP8667,Friday,5
U3336,Instagram Ads,18-12-2025,CMP2547,Thursday,12
U0723,Google Ads,,CMP4115,,
U0159,Email Marketing,27-02-2025,CMP2648,Thursday,2
U2089,Google Ads,22-01-2025,CMP8939,Wednesday,1
U5795,Instagram Ads,14-10-2025,CMP0654,Tuesday,10
U6746,Facebook Ads,,CMP3879,,
U5729,LinkedIn Ads,,CMP1772,,
U5754,Instagram Ads,25-11-2025,CMP6529,Tuesday,11
U2926,Instagram Ads,25-10-2025,CMP8786,Saturday,10
U1895,Email Marketing,17-07-2025,CMP5664,Thursday,7
U3229,Google Ads,,CMP7145,,
U8309,YouTube Ads,,CMP5410,,
U2852,YouTube Ads,,CMP4845,,
U9940,Instagram Ads,,CMP0007,,
U4650,YouTube Ads,21-09-2025,CMP3502,Sunday,9
U0401,Email Marketing,24-01-2025,CMP3849,Friday,1
U6292,LinkedIn Ads,,CMP1194,,
U8487,Google Ads,26-08-2025,CMP0091,Tuesday,8
U9158,LinkedIn Ads,,CMP1989,,
U7374,LinkedIn Ads,13-05-2025,CMP8271,Tuesday,5
U4682,LinkedIn Ads,,CMP8541,,
U3506,Facebook Ads,,CMP1321,,
U0321,Google Ads,22-10-2025,CMP6813,Wednesday,10
U9884,LinkedIn Ads,23-04-2025,CMP4893,Wednesday,4
U2092,LinkedIn Ads,15-11-2025,CMP0476,Saturday,11
U7565,Email Marketing,,CMP9247,,
U4134,Instagram Ads,,CMP7450,,
U0660,Facebook Ads,16-01-2025,CMP5734,Thursday,1
U3572,Facebook Ads,27-08-2025,CMP2497,Wednesday,8
U5097,YouTube Ads,25-02-2025,CMP9927,Tuesday,2
U3979,LinkedIn Ads,22-02-2025,CMP6150,Saturday,2
U7019,Google Ads,,CMP9838,,
U7533,LinkedIn Ads,29-12-2025,CMP0208,Monday,12
U9708,YouTube Ads,18-05-2025,CMP4426,Sunday,5
U6210,Instagram Ads,22-06-2025,CMP1420,Sunday,6
U4527,Facebook Ads,,CMP7989,,
U7801,Email Marketing,27-11-2025,CMP3955,Thursday,11
U9529,Instagram Ads,,CMP1525,,
U3778,Instagram Ads,,CMP9018,,
U4531,Email Marketing,29-10-2025,CMP8780,Wednesday,10
U8752,Instagram Ads,,CMP3181,,
U1681,Email Marketing,,CMP4787,,
U1870,Facebook Ads,,CMP5583,,
U1941,Facebook Ads,13-10-2025,CMP0879,Monday,10
U9643,YouTube Ads,,CMP3698,,
U2574,Facebook Ads,,CMP1626,,
U4721,LinkedIn Ads,28-12-2025,CMP6694,Sunday,12
