User_id,Channel,Interaction_date,Campaign_id,Interaction_Day,Interaction_Month,Interaction_Quarter,Is_Weekend
U1680,Google Ads,2025-12-13,CMP1825,Saturday,December,4.0,1
U9864,Google Ads,2025-01-14,CMP6913,Tuesday,January,1.0,0
U2616,LinkedIn Ads,2025-12-24,CMP8929,Wednesday,December,4.0,0
U9892,Google Ads,2025-05-16,CMP5515,Friday,May,2.0,0
U5926,Google Ads,2025-10-23,CMP6202,Thursday,October,4.0,0
U4555,Instagram Ads,2025-08-21,CMP3734,Thursday,August,3.0,0
U1170,Facebook Ads,,CMP5821,,,,0
U9126,LinkedIn Ads,2025-04-23,CMP2678,Wednesday,April,2.0,0
U3457,Facebook Ads,2025-10-18,CMP0917,Saturday,October,4.0,1
U9198,Email Marketing,,CMP6483,,,,0
U8349,LinkedIn Ads,,CMP9561,,,,0
U6253,Email Marketing,,CMP2505,,,,0
U4372,Email Marketing,2025-11-25,CMP0189,Tuesday,November,4.0,0
U8318,Google Ads,2025-02-24,CMP7434,Monday,February,1.0,0
U8690,Facebook Ads,,CMP9978,,,,0
U1291,Instagram Ads,2025-02-13,CMP5948,Thursday,February,1.0,0
U2706,Facebook Ads,2025-05-16,CMP8728,Friday,May,2.0,0
U6119,YouTube Ads,2025-08-13,CMP3471,Wednesday,August,3.0,0
U3609,Instagram Ads,,CMP1050,,,,0
U7954,Google Ads,2025-04-20,CMP1105,Sunday,April,2.0,1
U3120,YouTube Ads,2025-02-18,CMP9356,Tuesday,February,1.0,0
U1613,LinkedIn Ads,,CMP6736,,,,0
U6913,Facebook Ads,,CMP1791,,,,0
U0242,LinkedIn Ads,2025-02-17,CMP1236,Monday,February,1.0,0
U4346,LinkedIn Ads,2025-08-21,CMP3503,Thursday,August,3.0,0
U3567,Email Marketing,2025-01-30,CMP9106,Thursday,January,1.0,0
U2580,Google Ads,2025-01-30,CMP5139,Thursday,January,1.0,0
U4034,Google Ads,2025-10-24,CMP9750,Friday,October,4.0,0
U5148,YouTube Ads,,CMP9563,,,,0
U9225,LinkedIn Ads,2025-02-21,CMP4916,Friday,February,1.0,0
U7180,Instagram Ads,,CMP2171,,,,0
U2201,Google Ads,2025-05-16,CMP8667,Friday,May,2.0,0
U3336,Instagram Ads,2025-12-18,CMP2547,Thursday,December,4.0,0
U0723,Google Ads,,CMP4115,,,,0
U0159,Email Marketing,2025-02-27,CMP2648,Thursday,February,1.0,0
U2089,Google Ads,2025-01-22,CMP8939,Wednesday,January,1.0,0
U5795,Instagram Ads,2025-10-14,CMP0654,Tuesday,October,4.0,0
U6746,Facebook Ads,,CMP3879,,,,0
U5729,LinkedIn Ads,,CMP1772,,,,0
U5754,Instagram Ads,2025-11-25,CMP6529,Tuesday,November,4.0,0
U2926,Instagram Ads,2025-10-25,CMP8786,Saturday,October,4.0,1
U1895,Email Marketing,2025-07-17,CMP5664,Thursday,July,3.0,0
U3229,Google Ads,,CMP7145,,,,0
U8309,YouTube Ads,,CMP5410,,,,0
U2852,YouTube Ads,,CMP4845,,,,0
U9940,Instagram Ads,,CMP0007,,,,0
U4650,YouTube Ads,2025-09-21,CMP3502,Sunday,September,3.0,1
U0401,Email Marketing,2025-01-24,CMP3849,Friday,January,1.0,0
U6292,LinkedIn Ads,,CMP1194,,,,0
U8487,Google Ads,2025-08-26,CMP0091,Tuesday,August,3.0,0
U9158,LinkedIn Ads,,CMP1989,,,,0
U7374,LinkedIn Ads,2025-05-13,CMP8271,Tuesday,May,2.0,0
U4682,LinkedIn Ads,,CMP8541,,,,0
U3506,Facebook Ads,,CMP1321,,,,0
U0321,Google Ads,2025-10-22,CMP6813,Wednesday,October,4.0,0
U9884,LinkedIn Ads,2025-04-23,CMP4893,Wednesday,April,2.0,0
U2092,LinkedIn Ads,2025-11-15,CMP0476,Saturday,November,4.0,1
U7565,Email Marketing,,CMP9247,,,,0
U4134,Instagram Ads,,CMP7450,,,,0
U0660,Facebook Ads,2025-01-16,CMP5734,Thursday,January,1.0,0
U3572,Facebook Ads,2025-08-27,CMP2497,Wednesday,August,3.0,0
U5097,YouTube Ads,2025-02-25,CMP9927,Tuesday,February,1.0,0
U3979,LinkedIn Ads,2025-02-22,CMP6150,Saturday,February,1.0,1
U7019,Google Ads,,CMP9838,,,,0
U7533,LinkedIn Ads,2025-12-29,CMP0208,Monday,December,4.0,0
U9708,YouTube Ads,2025-05-18,CMP4426,Sunday,May,2.0,1
U6210,Instagram Ads,2025-06-22,CMP1420,Sunday,June,2.0,1
U4527,Facebook Ads,,CMP7989,,,,0
U7801,Email Marketing,2025-11-27,CMP3955,Thursday,November,4.0,0
U9529,Instagram Ads,,CMP1525,,,,0
U3778,Instagram Ads,,CMP9018,,,,0
U4531,Email Marketing,2025-10-29,CMP8780,Wednesday,October,4.0,0
U8752,Instagram Ads,,CMP3181,,,,0
U1681,Email Marketing,,CMP4787,,,,0
U1870,Facebook Ads,,CMP5583,,,,0
U1941,Facebook Ads,2025-10-13,CMP0879,Monday,October,4.0,0
U9643,YouTube Ads,,CMP3698,,,,0
U2574,Facebook Ads,,CMP1626,,,,0
U4721,LinkedIn Ads,2025-12-28,CMP6694,Sunday,December,4.0,1
U3684,Instagram Ads,2025-11-28,CMP3825,Friday,November,4.0,0
U4729,Google Ads,2025-08-13,CMP1170,Wednesday,August,3.0,0
U9799,Instagram Ads,2025-01-21,CMP6595,Tuesday,January,1.0,0
U9620,Google Ads,,CMP0424,,,,0
U2974,LinkedIn Ads,2025-10-27,CMP2871,Monday,October,4.0,0
U2635,Instagram Ads,2025-06-18,CMP7701,Wednesday,June,2.0,0
U5297,YouTube Ads,,CMP6562,,,,0
U8168,LinkedIn Ads,2025-11-17,CMP8890,Monday,November,4.0,0
U1990,Facebook Ads,2025-01-15,CMP8999,Wednesday,January,1.0,0
U3682,Instagram Ads,2025-02-28,CMP2595,Friday,February,1.0,0
U7906,Email Marketing,2025-08-30,CMP8166,Saturday,August,3.0,1
U4527,YouTube Ads,,CMP3123,,,,0
U8023,Instagram Ads,2025-03-18,CMP0043,Tuesday,March,1.0,0
U3913,YouTube Ads,2025-10-20,CMP9043,Monday,October,4.0,0
U6326,Instagram Ads,,CMP0716,,,,0
U1634,YouTube Ads,2025-09-27,CMP2069,Saturday,September,3.0,1
U6513,Google Ads,2025-11-29,CMP2530,Saturday,November,4.0,1
U1122,LinkedIn Ads,,CMP8743,,,,0
U7270,LinkedIn Ads,2025-03-27,CMP1481,Thursday,March,1.0,0
U4001,Google Ads,2025-09-29,CMP5315,Monday,September,3.0,0
U8154,Facebook Ads,2025-10-26,CMP2786,Sunday,October,4.0,1
U4713,Instagram Ads,2025-12-13,CMP7530,Saturday,December,4.0,1
U4098,YouTube Ads,2025-08-22,CMP5662,Friday,August,3.0,0
U4848,Google Ads,2025-12-25,CMP7917,Thursday,December,4.0,0
U4690,Instagram Ads,2025-04-28,CMP6485,Monday,April,2.0,0
U2241,YouTube Ads,2025-11-18,CMP3116,Tuesday,November,4.0,0
U4836,LinkedIn Ads,2025-06-17,CMP5062,Tuesday,June,2.0,0
U4211,Instagram Ads,,CMP8838,,,,0
U6512,LinkedIn Ads,2025-10-13,CMP1887,Monday,October,4.0,0
U4296,YouTube Ads,2025-10-27,CMP4333,Monday,October,4.0,0
U5375,Email Marketing,,CMP1776,,,,0
U0610,Email Marketing,,CMP7607,,,,0
U8851,Facebook Ads,,CMP8808,,,,0
