User_id,Channel,Weight,Attributed_Revenue
U0002,Instagram Ads,1.0,22042.1
U0004,Facebook Ads,1.0,34383.34
U0008,Facebook Ads,1.0,56462.58
U0024,Email Marketing,1.0,14943.99
U0035,Instagram Ads,1.0,5766.66
U0063,Facebook Ads,1.0,16358.76
U0071,YouTube Ads,1.0,7763.91
U0077,Instagram Ads,1.0,63241.98
U0080,YouTube Ads,1.0,17198.28
U0087,YouTube Ads,1.0,69495.24
U0092,Instagram Ads,1.0,15545.62
U0096,LinkedIn Ads,1.0,11085.62
U0100,YouTube Ads,1.0,71559.34
U0106,Facebook Ads,1.0,15651.96
U0107,Google Ads,1.0,71858.31
U0111,Email Marketing,1.0,27323.08
U0113,Instagram Ads,1.0,30921.24
U0117,YouTube Ads,1.0,39342.32
U0119,Google Ads,1.0,74027.08
U0122,Google Ads,1.0,10705.41
U0125,Instagram Ads,1.0,65084.24
U0132,Google Ads,1.0,21705.09
U0139,Instagram Ads,0.5,35133.2
U0139,Google Ads,0.5,35133.2
U0139,Instagram Ads,0.5,18945.53
U0139,Google Ads,0.5,18945.53
U0145,Facebook Ads,1.0,33840.8
U0146,YouTube Ads,1.0,13610.14
U0159,Email Marketing,1.0,52058.2
U0170,Instagram Ads,1.0,24751.02
U0175,Email Marketing,1.0,29014.83
U0177,Facebook Ads,1.0,23853.68
U0179,Instagram Ads,1.0,42884.6
U0184,YouTube Ads,1.0,22688.78
U0194,YouTube Ads,1.0,47851.92
U0197,YouTube Ads,1.0,44419.29
U0200,Email Marketing,1.0,15787.84
U0207,Email Marketing,1.0,23490.09
U0210,Email Marketing,1.0,29029.62
U0216,LinkedIn Ads,1.0,54712.16
U0218,LinkedIn Ads,1.0,34917.1
U0220,Facebook Ads,1.0,49059.02
U0236,YouTube Ads,1.0,67921.18
U0242,LinkedIn Ads,1.0,30926.25
U0246,Email Marketing,1.0,39083.07
U0261,Google Ads,1.0,2741.04
U0277,LinkedIn Ads,1.0,40461.45
U0282,Email Marketing,1.0,71852.97
U0292,LinkedIn Ads,1.0,3410.52
U0297,Facebook Ads,1.0,51704.68
U0302,YouTube Ads,1.0,50016.98
U0306,YouTube Ads,1.0,40240.56
U0320,Email Marketing,1.0,36366.57
U0321,Google Ads,1.0,1187.79
U0325,Email Marketing,1.0,6930.04
U0331,Google Ads,1.0,40971.07
U0347,YouTube Ads,1.0,37875.07
U0349,Facebook Ads,1.0,46694.68
U0350,Google Ads,1.0,74169.94
U0355,Email Marketing,1.0,56036.44
U0358,YouTube Ads,1.0,48714.52
U0360,Instagram Ads,0.5,4947.39
U0360,Facebook Ads,0.5,4947.39
U0360,Instagram Ads,0.5,35872.0
U0360,Facebook Ads,0.5,35872.0
U0363,Instagram Ads,1.0,20737.74
U0370,LinkedIn Ads,1.0,62240.02
U0377,Email Marketing,1.0,6275.28
U0380,YouTube Ads,0.5,17349.69
U0380,Instagram Ads,0.5,17349.69
U0380,YouTube Ads,0.5,4214.44
U0380,Instagram Ads,0.5,4214.44
U0388,Email Marketing,1.0,29143.66
U0391,Email Marketing,1.0,42878.92
U0394,Facebook Ads,1.0,36239.18
U0395,LinkedIn Ads,1.0,19845.45
U0401,Email Marketing,1.0,46137.09
U0415,Email Marketing,0.5,9499.44
U0415,Facebook Ads,0.5,9499.44
U0415,Email Marketing,0.5,25709.78
U0415,Facebook Ads,0.5,25709.78
U0421,Facebook Ads,0.4,1017.09
U0421,Google Ads,0.2,508.55
U0421,Google Ads,0.4,1017.09
U0421,Facebook Ads,0.4,8106.62
U0421,Google Ads,0.2,4053.31
U0421,Google Ads,0.4,8106.62
U0421,Facebook Ads,0.4,1898.32
U0421,Google Ads,0.2,949.16
U0421,Google Ads,0.4,1898.32
U0423,YouTube Ads,1.0,59406.36
U0433,LinkedIn Ads,1.0,11188.48
U0438,Facebook Ads,1.0,50914.94
U0440,YouTube Ads,1.0,39192.87
U0449,Instagram Ads,1.0,5765.91
U0457,Instagram Ads,1.0,2533.74
U0459,Instagram Ads,1.0,44529.6
U0463,LinkedIn Ads,1.0,11730.4
U0476,Email Marketing,1.0,46020.68
U0483,Instagram Ads,1.0,17362.3
