Conversion_id,User_id,Revenue,Conversion_date,Revenue_Log,Revenue_Rank,High_Value_Conversion,Revenue_Category
CONV00001,U1680,41243.46,12/31/2025,10.627272079713064,926.0,1,Very High
CONV00002,U9864,53914.46,02-05-2025,10.895172543228213,563.0,1,Very High
CONV00003,U2616,21381.94,12/30/2025,9.97034868681834,1432.0,0,Very High
CONV00004,U9892,34862.3,05/19/2025,10.459189978965396,1083.0,0,Very High
CONV00005,U5926,5914.47,11/13/2025,8.685326232258324,1862.0,0,Very High
CONV00006,U4555,27838.78,09-01-2025,10.234221212118282,1273.0,0,Very High
CONV00007,U1170,40409.88,11/15/2025,10.606854334623332,943.0,1,Very High
CONV00008,U9126,63331.76,05/17/2025,11.05615800980196,281.0,1,Very High
CONV00009,U3457,16537.52,11-02-2025,9.713447484525737,1578.0,0,Very High
CONV00010,U9198,44155.52,10/31/2025,10.695495873497926,826.0,1,Very High
CONV00011,U8349,4248.39,09/13/2025,8.354530722205366,1909.0,0,Very High
CONV00012,U6253,19417.5,11/19/2025,9.873981498903351,1489.0,0,Very High
CONV00013,U4372,22542.39,11/30/2025,10.02319717557508,1400.0,0,Very High
CONV00014,U8318,63243.94,03-12-2025,11.054770403389597,284.0,1,Very High
CONV00015,U8690,37028.97,01-04-2025,10.519482863753401,1030.0,0,Very High
CONV00016,U1291,61339.73,03-09-2025,11.024199338477766,345.0,1,Very High
CONV00017,U2706,45789.6,06/15/2025,10.731834108862957,785.0,1,Very High
CONV00018,U6119,9734.56,08/20/2025,9.183540440548343,1762.0,0,Very High
CONV00019,U3609,47609.4,01-11-2025,10.770806503749574,744.0,1,Very High
CONV00020,U7954,54458.92,05/18/2025,10.905220297258621,552.0,1,Very High
CONV00021,U3120,32755.54,03-03-2025,10.396857915783563,1146.0,0,Very High
CONV00022,U1613,25943.22,02/28/2025,10.163704127753853,1318.0,0,Very High
CONV00023,U6913,19298.13,05-03-2025,9.867815296156738,1493.0,0,Very High
CONV00024,U0242,30926.25,03-04-2025,10.339392951283411,1197.0,0,Very High
CONV00025,U4346,52471.92,09/13/2025,10.86805250598041,606.0,1,Very High
CONV00026,U3567,41007.99,02/22/2025,10.62154658994335,930.0,1,Very High
CONV00027,U2580,63962.19,02-01-2025,11.066063040626004,263.0,1,Very High
CONV00028,U4034,46739.07,11-06-2025,10.752357105738282,760.0,1,Very High
