"Campaign_id","Channel","Spend","Clicks","Impressions","Date",""
"CMP1825","Google Ads","30915.23","4556","99196","3/13/2025",""
"CMP6913","Google Ads","917.29","145","5905","9/16/2025",""
"CMP8929","LinkedIn Ads","24202.15","1889","30893","1/4/2025",""
"CMP5515","Google Ads","3471.42","828","14156","6/26/2025",""
"CMP6202","Google Ads","41702.74","2451","74357","11/13/2025",""
"CMP3734","Instagram Ads","9290.98","526","12458","7/14/2025",""
"CMP5821","Facebook Ads","65394.93","4424","89841","12/16/2025",""
"CMP2678","LinkedIn Ads","44805.47","2261","51735","11/24/2025",""
"CMP0917","Facebook Ads","3551.1","373","6207","2/3/2025",""
"CMP6483","Email Marketing","8705.19","1220","62142","5/7/2025",""
"CMP9561","LinkedIn Ads","36833.61","1846","49447","3/12/2025",""
"CMP2505","Email Marketing","23015.2","1779","22969","7/17/2025",""
"CMP0189","Email Marketing","27792.05","1926","96466","10/2/2025",""
"CMP7434","Google Ads","85152.6","4365","96646","4/2/2025",""
"CMP9978","Facebook Ads","25049.27","1581","22032","10/4/2025",""
"CMP5948","Instagram Ads","1927.28","287","33385","10/18/2025",""
"CMP8728","Facebook Ads","15155.24","1401","18828","10/9/2025",""
"CMP3471","YouTube Ads","50096.75","3345","97673","7/24/2025",""
"CMP1050","Instagram Ads","4279.96","351","4757","10/29/2025",""
"CMP1105","Google Ads","7243.57","630","45309","5/23/2025",""
"CMP9356","YouTube Ads","33110.91","2040","63953","7/28/2025",""
"CMP6736","LinkedIn Ads","13384","937","97561","11/27/2025",""
"CMP1791","Facebook Ads","9852.67","829","27112","3/13/2025",""
"CMP1236","LinkedIn Ads","2884.27","852","74132","10/4/2025",""
"CMP3503","LinkedIn Ads","1990.78","218","9685","7/19/2025",""
"CMP9106","Email Marketing","41791.36","8023","96163","6/1/2025",""
"CMP5139","Google Ads","7026.78","648","8572","9/29/2025",""
"CMP9750","Google Ads","37336.38","3903","90501","10/19/2025",""
"CMP9563","YouTube Ads","49802.29","2641","70522","4/15/2025",""
"CMP4916","LinkedIn Ads","1714.99","644","43441","11/15/2025",""
"CMP2171","Instagram Ads","4931.7","550","11016","3/22/2025",""
"CMP8667","Google Ads","93182.4","4955","89538","2/23/2025",""
"CMP2547","Instagram Ads","15632.07","2527","38930","6/25/2025",""
"CMP4115","Google Ads","13372.07","1349","14097","5/22/2025",""
"CMP2648","Email Marketing","67845.9","4569","59912","10/15/2025",""
"CMP8939","Google Ads","58667.66","4821","50393","8/9/2025",""
"CMP0654","Instagram Ads","19522.23","2843","29535","2/22/2025",""
"CMP3879","Facebook Ads","5098.88","1738","25206","6/20/2025",""
"CMP1772","LinkedIn Ads","3394.47","531","7075","8/24/2025",""
"CMP6529","Instagram Ads","13336.36","3590","38517","5/23/2025",""
"CMP8786","Instagram Ads","2998.49","168","5617","5/14/2025",""
