Conversion_id,User_id,Revenue,Conversion_date
CONV00001,U1680,27495.64,12/31/2025
CONV00002,U9864,35942.97,02/05/2025
CONV00003,U2616,14254.63,12/30/2025
CONV00004,U9892,23241.53,05/19/2025
CONV00005,U5926,3942.98,11/13/2025
CONV00006,U4555,18559.19,09/01/2025
CONV00007,U1170,26939.92,11/15/2025
CONV00008,U9126,42221.17,05/17/2025
CONV00009,U3457,11025.01,11/02/2025
CONV00010,U9198,29437.01,10/31/2025
CONV00011,U8349,2832.26,09/13/2025
CONV00012,U6253,12945,11/19/2025
CONV00013,U4372,15028.26,11/30/2025
CONV00014,U8318,42162.63,03/12/2025
CONV00015,U8690,24685.98,01/04/2025
CONV00016,U1291,40893.15,03/09/2025
CONV00017,U2706,30526.4,06/15/2025
CONV00018,U6119,6489.71,08/20/2025
CONV00019,U3609,31739.6,01/11/2025
CONV00020,U7954,36305.95,05/18/2025
CONV00021,U3120,21837.03,03/03/2025
CONV00022,U1613,17295.48,02/28/2025
CONV00023,U6913,12865.42,05/03/2025
CONV00024,U0242,20617.5,03/04/2025
CONV00025,U4346,34981.28,09/13/2025
CONV00026,U3567,27338.66,02/22/2025
CONV00027,U2580,42641.46,02/01/2025
CONV00028,U4034,31159.38,11/06/2025
CONV00029,U5148,6978.47,05/23/2025
CONV00030,U9225,11051.14,03/01/2025
CONV00031,U7180,30778.05,10/31/2025
CONV00032,U2201,5798.28,06/02/2025
CONV00033,U3336,13567.2,01/02/2026
CONV00034,U0723,6975.57,01/10/2025
CONV00035,U0159,34705.47,03/03/2025
CONV00036,U2089,44999.58,02/16/2025
CONV00037,U5795,37599.14,11/12/2025
CONV00038,U6746,12784.28,12/14/2025
CONV00039,U5729,1671.39,06/12/2025
CONV00040,U5754,34136.15,12/21/2025
CONV00041,U2926,5865.93,11/07/2025
CONV00042,U1895,13108.76,08/08/2025
CONV00043,U3229,47469.29,08/04/2025
CONV00044,U8309,16646.05,06/30/2025
CONV00045,U2852,20600.72,12/08/2025
CONV00046,U9940,22368.41,12/23/2025
CONV00047,U4650,31153.41,09/23/2025
CONV00048,U0401,30758.06,02/17/2025
CONV00049,U6292,7804.78,10/03/2025
CONV00050,U8487,12835.31,09/22/2025
CONV00051,U9158,44625.58,11/20/2025
CONV00052,U7374,32064.24,06/06/2025
CONV00053,U4682,16325.62,05/18/2025
CONV00054,U3506,16878.63,02/16/2025
CONV00055,U0321,791.86,11/02/2025
CONV00056,U9884,14010.3,05/08/2025
CONV00057,U2092,45392.98,12/03/2025
CONV00058,U7565,19265.64,04/10/2025
CONV00059,U4134,37576.7,02/12/2025
CONV00060,U0660,42041.83,02/04/2025
CONV00061,U3572,38461.46,09/01/2025
CONV00062,U5097,46479.91,03/15/2025
CONV00063,U3979,15428.34,03/15/2025
CONV00064,U7019,25545.06,12/15/2025
CONV00065,U7533,9218.78,01/14/2026
CONV00066,U9708,12652.01,06/16/2025
CONV00067,U6210,42622.17,06/27/2025
CONV00068,U4527,47429.1,10/14/2025
CONV00069,U7801,22684.64,11/27/2025
CONV00070,U9529,26780.64,07/21/2025
CONV00071,U3778,16119.62,03/26/2025
CONV00072,U4531,14508.44,11/01/2025
CONV00073,U8752,48727.6,03/23/2025
CONV00074,U1681,23735.15,01/21/2025
CONV00075,U1870,4167.07,02/23/2025
CONV00076,U1941,30008.28,11/01/2025
CONV00077,U9643,31240.85,08/27/2025
CONV00078,U2574,4215.71,05/03/2025
CONV00079,U4721,43050.53,12/30/2025
CONV00080,U3684,13648.81,12/02/2025
CONV00081,U4729,34589.56,09/04/2025
CONV00082,U9799,16454.92,01/29/2025
CONV00083,U9620,13840.8,01/12/2025
CONV00084,U2974,40805.12,10/29/2025
CONV00085,U2635,25025.72,07/09/2025
CONV00086,U5297,25972.51,03/01/2025
CONV00087,U8168,3054.78,11/25/2025
CONV00088,U1990,40066.03,02/06/2025
CONV00089,U3682,32561.63,03/04/2025
CONV00090,U7906,27787.62,09/11/2025
CONV00091,U4527,39492.01,08/09/2025
CONV00092,U8023,24474.9,03/28/2025
CONV00093,U3913,42872.64,11/02/2025
CONV00094,U6326,25018.77,12/07/2025
CONV00095,U1634,36260.97,10/10/2025
CONV00096,U6513,16764,12/20/2025
CONV00097,U1122,46085.99,05/08/2025
CONV00098,U7270,45219.49,03/28/2025
CONV00099,U4001,34249.12,10/04/2025
CONV00100,U8154,23326.92,11/03/2025
CONV00101,U4713,4156.16,01/12/2026
CONV00102,U4098,49968.99,09/18/2025
CONV00103,U4848,48908.25,01/15/2026
CONV00104,U4690,17939.89,05/18/2025
CONV00105,U2241,31559.18,11/19/2025
CONV00106,U4836,9194.18,06/21/2025
CONV00107,U4211,43584.65,09/29/2025
CONV00108,U6512,39638.76,10/13/2025
CONV00109,U4296,32108.19,11/07/2025
CONV00110,U5375,3629.24,12/05/2025
CONV00111,U0610,5311,07/03/2025
CONV00112,U8851,36466.66,08/31/2025
CONV00113,U0537,22447.46,01/19/2026
CONV00114,U5877,9895.52,02/04/2025
CONV00115,U0350,49446.63,02/20/2025
CONV00116,U5384,14225.1,03/21/2025
CONV00117,U0423,39604.24,03/16/2025
CONV00118,U6898,3646.12,10/11/2025
CONV00119,U0711,23173.1,01/03/2026
CONV00120,U8033,45013.7,01/10/2026
CONV00121,U9591,19354.77,10/27/2025
CONV00122,U1875,38563.66,12/25/2025
CONV00123,U6533,15971.14,08/11/2025
CONV00124,U1528,37070.4,09/04/2025
CONV00125,U5401,18003.1,12/31/2025
CONV00126,U1698,8159.14,11/07/2025
CONV00127,U9407,28267.8,05/20/2025
CONV00128,U4382,35283.59,01/24/2025
CONV00129,U6567,31842.01,02/05/2025
