Campaign_id,Channel,Spend,Clicks,Impressions,Date
CMP1825,Google Ads,$30915.2300,4556,99196,03/13/2025
CMP6913,Google Ads,$917.2900,145,5905,09/16/2025
CMP8929,LinkedIn Ads,$24202.1500,1889,30893,2025-04-01
CMP5515,Google Ads,$3471.4200,828,14156,06/26/2025
CMP6202,Google Ads,$41702.7400,2451,74357,11/13/2025
CMP3734,Instagram Ads,$9290.9800,526,12458,07/14/2025
CMP5821,Facebook Ads,$65394.9300,4424,89841,12/16/2025
CMP2678,LinkedIn Ads,$44805.4700,2261,51735,11/24/2025
CMP0917,Facebook Ads,$3551.1000,373,6207,2025-03-02
CMP6483,Email Marketing,$8705.1900,1220,62142,2025-07-05
CMP9561,LinkedIn Ads,$36833.6100,1846,49447,2025-12-03
CMP2505,Email Marketing,$23015.2000,1779,22969,07/17/2025
CMP0189,Email Marketing,$27792.0500,1926,96466,2025-02-10
CMP7434,Google Ads,$85152.6000,4365,96646,2025-02-04
CMP9978,Facebook Ads,$25049.2700,1581,22032,2025-04-10
CMP5948,Instagram Ads,$1927.2800,287,33385,10/18/2025
CMP8728,Facebook Ads,$15155.2400,1401,18828,2025-09-10
CMP3471,YouTube Ads,$50096.7500,3345,97673,07/24/2025
CMP1050,Instagram Ads,$4279.9600,351,4757,10/29/2025
CMP1105,Google Ads,$7243.5700,630,45309,05/23/2025
CMP9356,YouTube Ads,$33110.9100,2040,63953,07/28/2025
CMP6736,LinkedIn Ads,$13384.0000,937,97561,11/27/2025
CMP1791,Facebook Ads,$9852.6700,829,27112,03/13/2025
CMP1236,LinkedIn Ads,$2884.2700,852,74132,2025-04-10
CMP3503,LinkedIn Ads,$1990.7800,218,9685,07/19/2025
CMP9106,Email Marketing,$41791.3600,8023,96163,2025-01-06
CMP5139,Google Ads,$7026.7800,648,8572,09/29/2025
CMP9750,Google Ads,$37336.3800,3903,90501,10/19/2025
CMP9563,YouTube Ads,$49802.2900,2641,70522,04/15/2025
CMP4916,LinkedIn Ads,$1714.9900,644,43441,11/15/2025
CMP2171,Instagram Ads,$4931.7000,550,11016,03/22/2025
CMP8667,Google Ads,$93182.4000,4955,89538,02/23/2025
CMP2547,Instagram Ads,$15632.0700,2527,38930,06/25/2025
CMP4115,Google Ads,$13372.0700,1349,14097,05/22/2025
CMP2648,Email Marketing,$67845.9000,4569,59912,10/15/2025
CMP8939,Google Ads,$58667.6600,4821,50393,2025-09-08
CMP0654,Instagram Ads,$19522.2300,2843,29535,02/22/2025
CMP3879,Facebook Ads,$5098.8800,1738,25206,06/20/2025
CMP1772,LinkedIn Ads,$3394.4700,531,7075,08/24/2025
CMP6529,Instagram Ads,$13336.3600,3590,38517,05/23/2025
CMP8786,Instagram Ads,$2998.4900,168,5617,05/14/2025
CMP5664,Email Marketing,$47505.7700,3624,43114,09/19/2025
CMP7145,Google Ads,$79358.8900,6656,70146,2025-10-12
CMP5410,YouTube Ads,$16152.4000,1070,43145,2025-03-06
CMP4845,YouTube Ads,$4357.1500,442,18683,07/14/2025
CMP0007,Instagram Ads,$9120.9700,910,39606,10/24/2025
CMP3502,YouTube Ads,$33244.2300,6078,64021,02/13/2025
CMP3849,Email Marketing,$31402.0700,1890,42687,03/17/2025
CMP1194,LinkedIn Ads,$65499.2200,5209,56321,12/23/2025
CMP0091,Google Ads,$10274.7100,1842,57724,12/23/2025
CMP1989,LinkedIn Ads,$17977.4600,1691,19477,09/29/2025
CMP8271,LinkedIn Ads,$67380.6300,3702,73810,2025-01-09
CMP8541,LinkedIn Ads,$28995.3500,3969,84149,2025-09-02
CMP1321,Facebook Ads,$9175.5100,997,21769,03/20/2025
CMP6813,Google Ads,$16489.0400,1770,29110,10/27/2025
CMP4893,LinkedIn Ads,$69478.0200,4459,56921,2025-07-10
CMP0476,LinkedIn Ads,$51012.2100,3362,46057,08/28/2025
CMP9247,Email Marketing,$1264.8300,92,5552,2025-11-03
CMP7450,Instagram Ads,$23250.7400,3155,46236,2025-04-08
CMP5734,Facebook Ads,$18985.4300,1174,87215,11/30/2025
CMP2497,Facebook Ads,$14485.6200,1019,18544,10/16/2025
CMP9927,YouTube Ads,$31030.4800,1926,96156,03/25/2025
CMP6150,LinkedIn Ads,$12634.9700,3299,95718,12/20/2025
CMP9838,Google Ads,$20796.0800,6461,76177,09/30/2025
CMP0208,LinkedIn Ads,$9219.2100,914,66251,2025-05-07
CMP4426,YouTube Ads,$70096.9100,6395,72539,2025-12-08
CMP1420,Instagram Ads,$32001.4400,2047,61087,10/19/2025
CMP7989,Facebook Ads,$18315.5400,2166,48507,2025-02-11
CMP3955,Email Marketing,$49497.5500,4052,55271,2025-04-05
CMP1525,Instagram Ads,$24918.3100,1706,31045,2025-06-06
CMP9018,Instagram Ads,$27276.9900,3767,48112,2025-09-05
CMP8780,Email Marketing,$5243.1300,834,26267,2025-05-09
CMP3181,Instagram Ads,$8618.2700,1528,31816,2025-08-01
CMP4787,Email Marketing,$23998.5800,1356,18551,2025-09-09
CMP5583,Facebook Ads,$5842.3300,308,8734,2025-02-09
CMP0879,Facebook Ads,$5163.9200,1294,21555,2025-08-05
CMP3698,YouTube Ads,$68811.6100,3740,51856,2025-02-06
CMP1626,Facebook Ads,$25009.4900,3507,83987,2025-11-02
CMP6694,LinkedIn Ads,$58869.4400,7749,92357,04/29/2025
CMP3825,Instagram Ads,$32712.3200,3291,83927,2025-06-10
CMP1170,Google Ads,$16903.4700,1309,23747,10/19/2025
CMP6595,Instagram Ads,$49835.5600,4473,67597,2025-11-02
CMP0424,Google Ads,$48150.3900,2811,32005,10/22/2025
CMP2871,LinkedIn Ads,$55157.5700,5387,70021,05/23/2025
CMP7701,Instagram Ads,$22569.4800,2780,55523,02/23/2025
CMP6562,YouTube Ads,$2081.1400,515,6809,2025-10-05
CMP8890,LinkedIn Ads,$2856.6500,494,56165,2025-05-07
CMP8999,Facebook Ads,$33034.9200,1844,39752,2025-06-09
CMP2595,Instagram Ads,$1970.6300,162,74199,02/17/2025
CMP8166,Email Marketing,$31678.6000,2134,40254,2025-01-08
CMP3123,YouTube Ads,$110245.0300,6163,68616,2025-05-02
CMP0043,Instagram Ads,$84766.9500,4941,97164,10/24/2025
CMP9043,YouTube Ads,$71158.1800,3780,51441,2025-07-04
CMP0716,Instagram Ads,$115748.7600,7799,99609,07/15/2025
CMP2069,YouTube Ads,$49066.0000,2769,79356,08/14/2025
CMP2530,Google Ads,$18711.5300,2221,63537,12/21/2025
CMP8743,LinkedIn Ads,$71901.8500,4047,43505,01/19/2025
CMP1481,LinkedIn Ads,$19959.9700,1347,14903,02/21/2025
CMP5315,Google Ads,$13752.6500,1518,40452,03/16/2025
CMP2786,Facebook Ads,$11116.3300,833,12350,2025-04-05
CMP7530,Instagram Ads,$3700.8700,203,89404,08/27/2025
CMP5662,YouTube Ads,$51567.8000,2667,41210,12/20/2025
CMP7917,Google Ads,$20163.9400,1612,33091,10/22/2025
CMP6485,Instagram Ads,$1382.6800,75,3061,2025-12-09
CMP3116,YouTube Ads,$44432.0800,2826,34850,2025-04-12
CMP5062,LinkedIn Ads,$6478.7900,423,6373,02/16/2025
CMP8838,Instagram Ads,$76901.8500,4160,71579,03/26/2025
CMP1887,LinkedIn Ads,$5305.8100,338,11869,04/26/2025
CMP4333,YouTube Ads,$8780.1900,981,18199,2025-11-12
CMP1776,Email Marketing,$5820.0400,1981,32647,10/15/2025
CMP7607,Email Marketing,$15414.9700,3394,41608,01/24/2025
CMP8808,Facebook Ads,$33866.5100,3766,52940,12/23/2025
CMP6798,Email Marketing,$13964.1600,1052,14978,05/24/2025
CMP3869,Instagram Ads,$12981.8400,1454,15022,11/27/2025
CMP7451,Google Ads,$48397.6400,3525,88870,2025-02-11
